id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4037,1,0,,,1,363,0,
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,15000,1,50,2021-08-23,3.95,10,350,1,
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,600,2,64,2021-09-20,0.54,2,330,8,
58955,Entire beautiful duplex in la Roma,282620,Laura,,Cuauhtémoc,19.42113,-99.15955,Entire home/apt,1554,7,42,2020-01-31,0.80,1,54,0,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,1917,4,39,2019-02-24,0.32,2,307,0,
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35448,-99.16217,Entire home/apt,908,4,105,2021-08-05,1.16,3,107,3,
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3795,4,10,2019-06-17,0.15,3,298,0,
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35416,-99.16488,Private room,1373,1,0,,,3,23,0,
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Maria Jose,,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,4124,2,273,2021-09-25,2.29,5,282,7,
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39675,-99.17581,Private room,299,4,74,2018-06-03,0.80,2,352,4,
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1479,3,37,2021-06-19,0.73,1,348,2,
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1817,2,24,2018-01-03,0.27,3,0,0,
204887,"Traditional neighborhood: Escandón, Condesa & Roma",998053,MaryJo,,Cuauhtémoc,19.4059,-99.17548,Entire home/apt,800,3,26,2020-03-24,0.29,1,346,0,
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40491,-99.17177,Entire home/apt,707,7,16,2021-10-23,0.20,1,81,8,
245507,TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Francisco,,Cuauhtémoc,19.4236,-99.16979,Entire home/apt,1283,1,274,2020-09-04,2.51,2,326,2,
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43516,-99.13806,Private room,606,3,80,2018-08-30,0.90,3,314,0,
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41472,-99.15602,Private room,298,5,16,2016-05-19,0.16,4,0,0,
255354,Tours in Mexico city,855066,Andrea,,Azcapotzalco,19.49808,-99.19187,Private room,667,1,1,2011-12-14,0.01,1,365,0,
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Maria Jose,,Miguel Hidalgo,19.40663,-99.18653,Entire home/apt,3726,2,278,2021-09-18,2.48,5,260,13,
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42485,-99.17797,Entire home/apt,1874,5,13,2012-03-28,0.14,1,241,0,
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38061,-99.12729,Entire home/apt,2019,7,0,,,1,365,0,
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41108,-99.17634,Hotel room,3072,1,7,2019-04-07,0.10,10,355,0,
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41241,-99.1753,Entire home/apt,606,1,322,2021-10-04,3.64,10,334,28,
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36305,-99.15412,Private room,606,2,0,,,1,365,0,
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43358,-99.14452,Entire home/apt,1514,3,120,2019-11-03,1.10,1,267,0,
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41368,-99.17907,Entire home/apt,879,2,181,2021-08-31,1.64,1,319,5,
324769,2Room new apartment in modern complex,1661848,David,,Miguel Hidalgo,19.45906,-99.19071,Entire home/apt,707,5,37,2017-10-31,0.48,1,299,2,
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43319,-99.14665,Private room,585,3,107,2019-02-18,1.14,1,360,0,
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo,,Coyoacán,19.34034,-99.18345,Private room,303,2,193,2020-01-14,2.29,2,149,2,
326475,Room in Contemporary chic apartment- Top location,1670032,Maria Isabel,,Cuauhtémoc,19.41444,-99.15734,Private room,590,2,107,2021-08-22,1.37,1,15,13,
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.2751,-99.17757,Private room,283,2,15,2017-11-04,0.29,5,363,0,
331788,"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,,Cuauhtémoc,19.41975,-99.17341,Entire home/apt,1554,3,337,2020-03-07,3.02,1,27,0,
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40639,-99.16686,Private room,1110,5,0,,,1,365,0,
357324,Recámara luminosa y jardín,1808252,Sara,,Miguel Hidalgo,19.40237,-99.24315,Private room,2019,1,0,,,1,365,0,
362583,Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,,Cuauhtémoc,19.43165,-99.17132,Entire home/apt,1557,2,24,2021-09-12,0.39,1,318,6,
370092,Condesa Roma WTC Loft,618769,Ricardo,,Cuauhtémoc,19.40213,-99.16924,Entire home/apt,470,1,343,2021-06-11,3.42,2,327,35,
373792,"Great Accommodation in Condesa , modern , secure",1821523,Jorge,,Cuauhtémoc,19.41277,-99.17546,Private room,908,2,12,2017-11-22,0.14,1,352,1,
375032,DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,,Cuauhtémoc,19.4075,-99.17561,Private room,2586,1,46,2021-01-31,0.73,11,349,1,
382712,SALUDOS MI NOMBRE ES FERNANDO,1918084,Fernando,,Miguel Hidalgo,19.45684,-99.17179,Private room,700,1,0,,,1,365,0,
395446,Cool apartment with  the Best Roof Top in Condesa,899360,Julian,,Cuauhtémoc,19.41068,-99.17732,Entire home/apt,2523,14,14,2021-10-11,0.16,3,63,2,
419110,Comfy clean Roøm @Cozy apartment,2084312,Sara,,Cuauhtémoc,19.41017,-99.17886,Private room,666,3,53,2019-06-02,0.97,1,88,0,
454077,Explore the City's Historic Center,2256144,Fernanda,,Cuauhtémoc,19.42454,-99.13845,Private room,505,1,2,2014-06-11,0.04,1,365,0,
454693,"Condesa, ideal for tourism or remote work",1601561,Sylvia Eugenia,,Cuauhtémoc,19.40836,-99.1733,Entire home/apt,1431,3,230,2021-09-08,2.07,1,253,10,
456242,Nice and cozy room with terrace!!!!,1767559,Anna,,La Magdalena Contreras,19.33036,-99.21737,Private room,807,3,2,2015-07-08,0.03,2,179,0,
458808,Departamento  Roma Norte- Sanitizado,2281290,Suites,,Cuauhtémoc,19.42675,-99.1613,Entire home/apt,657,1,45,2021-09-17,0.62,46,351,33,
486913,Very spacious  vintage 60´s / San Rafael-Reforma,2409917,Darío,,Cuauhtémoc,19.43898,-99.16142,Entire home/apt,761,2,23,2019-12-02,0.28,3,351,1,
491412,Luxury Room for rent in Santa Fe area México City,2428947,,,Miguel Hidalgo,19.38875,-99.24067,Private room,3000,7,0,,,1,88,0,
499553,"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,,Cuauhtémoc,19.43621,-99.13874,Entire home/apt,3774,3,23,2019-12-08,0.24,3,245,0,
501037,The best cheap flat in La Condesa!!,1364145,Humberto,,Cuauhtémoc,19.41578,-99.17425,Entire home/apt,984,5,66,2021-09-18,0.98,2,47,9,
517503,Nice big room near airport,2547499,Irma,,Venustiano Carranza,19.43784,-99.07903,Private room,399,1,176,2021-10-04,4.06,2,353,49,
521867,Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,,Álvaro Obregón,19.38552,-99.22276,Private room,505,2,0,,,1,87,0,
527473,Roma Condesa Espectacular Home,158585,Fernando,,Cuauhtémoc,19.41887,-99.17333,Entire home/apt,4109,2,214,2021-10-06,2.83,1,203,43,
544105,"Close to Carso/Antara, cozy place, great location!",2674950,Elizabeth,,Miguel Hidalgo,19.4418,-99.20095,Private room,704,2,30,2021-06-26,0.60,1,73,6,
555663,Great Apartment w/Balcony & Excellent Location!,2732644,Paola,,Cuauhtémoc,19.42924,-99.15699,Entire home/apt,892,2,42,2021-07-18,0.55,1,268,14,
567176,Un descanso en CDMX,2336127,Ana Karen,,Cuauhtémoc,19.45595,-99.15944,Private room,210,7,24,2020-01-18,0.32,1,209,0,
571166,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41346,-99.1775,Hotel room,2625,1,1,2019-02-08,0.03,10,239,0,
579534,"""Frida"" beautiful Private Room",1326107,Jacqueline,,Cuauhtémoc,19.41269,-99.15512,Private room,399,5,8,2017-03-02,0.12,4,268,0,
583039,"historic center, balcony overlooking the city 12D",2872228,Bruce,,Cuauhtémoc,19.43374,-99.14616,Entire home/apt,1430,3,53,2021-04-18,0.70,6,214,4,
607833,Apartment close to the Basílica.,1849414,Omar,,Gustavo A. Madero,19.48321,-99.11241,Private room,404,3,6,2014-07-22,0.08,1,82,0,
608312,Trendy Condesa nice room for rent..,1969996,Gloria,,Cuauhtémoc,19.40711,-99.17567,Private room,828,2,28,2018-06-22,0.31,3,299,0,
609012,Beautiful appartement on Reforma,2944126,Dacio,,Cuauhtémoc,19.43221,-99.15708,Entire home/apt,1514,4,24,2020-03-30,0.22,1,331,0,
609594,House in Xochimilco,2223274,Luis,,Xochimilco,19.26541,-99.11365,Entire home/apt,606,21,12,2018-01-25,0.21,1,340,0,
613181,90m2 / Mexico City's Hist. downtown,3040937,Jano,,Cuauhtémoc,19.43826,-99.1366,Entire home/apt,1383,3,174,2021-06-26,1.60,2,326,8,
617137,Apt near Mexico City's downtown,3059169,Andoni,,Cuauhtémoc,19.44614,-99.15868,Shared room,2019,1,0,,,1,365,0,
640803,"Juan O'Gorman House - Studio,",3200155,Paulina,,Álvaro Obregón,19.35106,-99.19789,Entire home/apt,6621,4,22,2017-05-19,0.20,2,271,0,
